customer_id,app_logins,email_clicks,support_calls,complaints,offer_acceptance
768805383,34,12,1,2,0
818770008,17,9,9,1,1
713982108,86,24,5,4,0
769911858,85,13,9,0,1
709106358,58,11,0,3,0
713061558,3,43,7,1,1
810347208,25,49,5,0,1
818906208,55,40,6,1,1
710930508,81,21,8,4,1
719661558,77,25,3,3,1
708790833,40,40,8,3,0
710821833,89,14,6,2,0
710599683,22,39,7,0,0
816082233,40,49,5,0,0
712396908,96,35,8,0,1
714885258,9,12,4,3,0
709967358,96,25,7,0,1
753327333,22,12,5,3,1
806160108,35,6,7,4,0
709327383,76,5,3,0,1
806165208,54,37,4,3,1
708508758,94,29,5,2,0
784725333,62,17,5,4,1
811604133,38,47,6,4,0
789124683,65,47,9,1,0
771071958,18,25,6,4,0
720466383,73,18,4,1,0
804424383,29,32,3,4,1
718813833,56,36,1,3,1
806624208,17,42,6,1,0
778348233,29,47,3,1,1
712991808,54,47,1,2,1
709029408,33,9,9,2,1
788658483,3,28,5,4,0
787937058,60,6,6,3,0
715318008,45,6,5,3,0
713962233,85,48,7,1,0
785432733,67,17,5,1,1
715190283,74,26,1,4,0
708300483,75,19,2,3,0
827111283,2,46,7,1,0
758551608,18,40,8,2,1
773146383,6,35,4,4,1
778493808,37,6,5,2,0
720572508,37,18,3,1,0
712661433,80,30,0,0,0
789172683,56,44,0,1,0
738406533,82,3,1,4,0
799723908,97,18,4,3,1
771490833,4,24,6,3,1
720756708,53,14,2,0,0
779471883,73,48,8,4,1
711525033,13,28,8,4,1
712813458,95,20,8,4,0
714374133,52,12,4,3,1
717891558,32,8,9,2,0
716632758,52,40,7,1,0
768563658,10,6,5,2,0
711427458,61,5,6,3,1
714091983,62,48,5,4,1
787584108,77,29,8,2,1
712030833,91,27,9,4,0
711481533,64,43,9,2,0
710082708,95,12,9,4,0
708155733,33,11,9,4,1
788979258,91,40,4,3,1
807986133,27,41,5,3,0
788730933,44,22,2,2,0
711314058,85,22,6,2,0
717975333,80,36,1,4,0
715971108,98,46,4,3,1
720096558,32,24,7,4,1
719580033,89,13,2,1,1
820582308,30,37,7,2,1
789973308,35,14,1,4,1
712876233,48,15,0,1,1
804595158,68,21,6,0,1
714826758,55,20,4,3,0
779058108,90,9,0,0,0
710790258,18,2,2,3,0
715623483,51,31,8,0,0
715156383,23,15,2,4,0
711013983,97,43,0,0,0
755420433,24,34,9,2,1
794543958,78,5,5,4,0
716396358,24,2,6,4,0
715398033,88,18,8,3,0
711743883,48,39,5,0,1
719720058,52,24,0,2,0
778992108,32,1,9,3,0
717539808,26,43,6,0,1
714070758,63,49,9,3,1
714107958,93,30,8,2,0
789140283,16,19,4,4,1
715550508,38,29,0,1,1
719712633,41,6,7,0,0
772629333,91,21,1,1,0
720336708,62,0,1,3,1
802013583,93,21,0,1,0
711887583,51,12,4,4,0
714778833,92,46,3,4,0
713843283,26,13,9,2,1
779155158,93,24,9,2,0
721091583,7,25,7,1,0
713572683,31,36,3,4,0
716657058,75,46,1,1,0
779509983,24,38,6,0,0
