merchant_id,merchant_name,category,country,risk_score
M00001,Delta,Groceries,UK,0.2
M00002,Uber,Electronics,USA,0.31
M00003,Shell,Airlines,Australia,0.62
M00004,Starbucks,Fuel,Canada,0.01
M00005,Delta,Healthcare,Canada,0.13
M00006,Amazon,Dining,USA,0.28
M00007,Amazon,Hotels,USA,0.65
M00008,Netflix,Travel,Australia,0.25
M00009,Delta,Entertainment,Canada,0.91
M00010,United,Shopping,USA,0.88
M00011,Netflix,Groceries,Canada,0.23
M00012,Uber,Travel,Singapore,0.49
M00013,Apple,Hotels,USA,0.01
M00014,Delta,Airlines,USA,0.6
M00015,Best Buy,Airlines,Singapore,0.23
M00016,Hilton,Dining,USA,0.78
M00017,United,Healthcare,Canada,0.48
M00018,Uber,Electronics,Singapore,0.01
M00019,Costco,Shopping,Canada,0.31
M00020,Best Buy,Entertainment,USA,0.77
M00021,United,Travel,USA,0.12
M00022,Target,Airlines,USA,0.03
M00023,Hilton,Healthcare,Canada,0.78
M00024,Best Buy,Fuel,Canada,0.63
M00025,Shell,Electronics,UK,0.06
M00026,Hilton,Healthcare,Australia,0.35
M00027,Netflix,Groceries,UK,0.05
M00028,Shell,Fuel,USA,0.59
M00029,Target,Hotels,Canada,0.89
M00030,Walmart,Hotels,Canada,0.77
M00031,Apple,Electronics,UK,0.36
M00032,Delta,Entertainment,Australia,0.41
M00033,Apple,Entertainment,USA,0.65
M00034,CVS,Dining,Australia,0.64
M00035,Starbucks,Electronics,Singapore,0.97
M00036,Apple,Groceries,Singapore,0.41
M00037,Hilton,Entertainment,Canada,0.0
M00038,Hilton,Dining,USA,0.63
M00039,Uber,Shopping,Australia,0.34
M00040,Apple,Hotels,UK,0.09
M00041,Netflix,Travel,Australia,0.03
M00042,Marriott,Groceries,UK,0.56
M00043,Amazon,Entertainment,Canada,0.68
M00044,Uber,Healthcare,Canada,0.77
M00045,Uber,Entertainment,Singapore,0.89
M00046,Uber,Electronics,UK,0.68
M00047,CVS,Dining,UK,0.56
M00048,Apple,Healthcare,Singapore,0.22
M00049,CVS,Healthcare,USA,0.96
M00050,United,Healthcare,UK,0.43
M00051,Apple,Groceries,UK,0.97
M00052,Costco,Airlines,UK,0.83
M00053,CVS,Airlines,UK,0.04
M00054,Target,Electronics,Canada,0.8
M00055,Marriott,Fuel,UK,0.12
M00056,Walmart,Shopping,Australia,0.36
M00057,Marriott,Airlines,Australia,0.72
M00058,Costco,Hotels,Australia,0.98
M00059,Costco,Entertainment,Singapore,0.23
M00060,Best Buy,Shopping,Australia,0.78
M00061,United,Healthcare,Singapore,0.29
M00062,Walmart,Groceries,UK,0.28
M00063,Uber,Electronics,Australia,0.99
M00064,Costco,Groceries,UK,0.37
M00065,Apple,Electronics,UK,0.98
M00066,Netflix,Travel,Canada,0.99
M00067,Hilton,Entertainment,Canada,0.12
M00068,Netflix,Electronics,Australia,0.98
M00069,Delta,Electronics,Australia,0.07
M00070,Walmart,Groceries,Canada,0.53
M00071,Walmart,Fuel,Singapore,0.51
M00072,United,Entertainment,UK,0.34
M00073,Marriott,Airlines,Singapore,0.28
M00074,Netflix,Dining,Canada,0.47
M00075,Costco,Airlines,Australia,0.24
M00076,Shell,Airlines,Singapore,0.25
M00077,Uber,Fuel,Australia,0.51
M00078,CVS,Travel,Canada,0.94
M00079,Marriott,Entertainment,USA,0.37
M00080,Walmart,Shopping,UK,0.82
M00081,Delta,Hotels,Australia,0.34
M00082,Hilton,Hotels,Australia,0.23
M00083,Costco,Travel,Canada,0.35
M00084,United,Healthcare,USA,0.35
M00085,Hilton,Groceries,UK,0.83
M00086,Target,Healthcare,Singapore,0.34
M00087,Uber,Shopping,Singapore,0.06
M00088,United,Shopping,USA,0.73
M00089,CVS,Fuel,Canada,0.33
